price,city,property_type,number_of_reviews,review_rating,season
114.0,FIRST WARD,Entire home/apt,9,4.89,spring
101.0,TWELFTH WARD,Private room,1,5.0,fall
337.0,SECOND WARD,Entire home/apt,18,4.61,spring
51.0,THIRTEENTH WARD,Private room,12,5.0,winter
53.0,SEVENTH WARD,Entire home/apt,2,4.5,fall
140.0,TWELFTH WARD,Entire home/apt,24,4.96,spring
145.0,SIXTH WARD,Entire home/apt,7,5.0,winter
70.0,THIRD WARD,Entire home/apt,1,5.0,fall
136.0,TENTH WARD,Entire home/apt,17,4.59,spring
76.0,SECOND WARD,Entire home/apt,64,4.83,spring
88.0,SIXTH WARD,Entire home/apt,45,4.96,spring
94.0,FOURTEENTH WARD,Entire home/apt,28,4.86,winter
90.0,SIXTH WARD,Entire home/apt,50,4.64,spring
99.0,THIRD WARD,Entire home/apt,11,4.73,spring
74.0,SIXTH WARD,Entire home/apt,14,4.86,spring
90.0,SEVENTH WARD,Entire home/apt,38,4.92,spring
87.0,SIXTH WARD,Entire home/apt,28,4.86,spring
90.0,SIXTH WARD,Entire home/apt,6,3.83,winter
165.0,FIFTEENTH WARD,Entire home/apt,49,4.86,spring
64.0,SECOND WARD,Entire home/apt,4,4.75,winter
94.0,SECOND WARD,Entire home/apt,5,5.0,spring
135.0,THIRD WARD,Entire home/apt,3,4.67,summer
153.0,FIFTEENTH WARD,Entire home/apt,48,4.98,summer
70.0,THIRD WARD,Entire home/apt,2,4.0,spring
72.0,THIRTEENTH WARD,Entire home/apt,6,5.0,spring
88.0,SIXTH WARD,Entire home/apt,56,4.82,spring
55.0,ELEVENTH WARD,Private room,20,4.9,spring
87.0,SIXTH WARD,Entire home/apt,72,4.72,summer
95.0,SIXTH WARD,Entire home/apt,11,4.73,spring
52.0,TENTH WARD,Private room,2,5.0,fall
107.0,SEVENTH WARD,Entire home/apt,14,4.36,spring
292.0,SECOND WARD,Entire home/apt,2,3.0,summer
128.0,SIXTH WARD,Entire home/apt,46,4.96,spring
213.0,SEVENTH WARD,Entire home/apt,18,4.94,spring
99.0,THIRTEENTH WARD,Entire home/apt,55,4.95,spring
78.0,SIXTH WARD,Entire home/apt,25,4.8,spring
75.0,SIXTH WARD,Entire home/apt,21,5.0,spring
67.0,SIXTH WARD,Entire home/apt,17,4.94,spring
120.0,SECOND WARD,Entire home/apt,16,4.69,spring
85.0,SIXTH WARD,Entire home/apt,130,4.95,summer
168.0,NINTH WARD,Entire home/apt,27,4.89,spring
113.0,SIXTH WARD,Entire home/apt,23,4.96,spring
82.0,TENTH WARD,Entire home/apt,33,4.88,spring
42.0,NINTH WARD,Private room,6,4.67,spring
68.0,THIRTEENTH WARD,Private room,2,5.0,fall
108.0,ELEVENTH WARD,Entire home/apt,10,4.4,summer
55.0,THIRTEENTH WARD,Private room,2,5.0,spring
158.0,THIRTEENTH WARD,Entire home/apt,7,5.0,spring
150.0,TENTH WARD,Entire home/apt,14,4.57,spring
145.0,ELEVENTH WARD,Entire home/apt,33,4.5,spring
115.0,SIXTH WARD,Entire home/apt,43,4.88,spring
74.0,SIXTH WARD,Entire home/apt,55,4.82,summer
82.0,SIXTH WARD,Entire home/apt,2,5.0,fall
74.0,SIXTH WARD,Entire home/apt,27,4.93,spring
44.0,SECOND WARD,Private room,7,4.43,winter
73.0,SECOND WARD,Private room,32,4.75,summer
52.0,TENTH WARD,Private room,4,4.75,winter
100.0,THIRD WARD,Private room,7,5.0,spring
52.0,TENTH WARD,Private room,1,5.0,fall
88.0,SIXTH WARD,Entire home/apt,10,4.5,spring
83.0,SIXTH WARD,Entire home/apt,6,4.33,winter
93.0,SIXTH WARD,Entire home/apt,8,4.5,spring
131.0,SEVENTH WARD,Entire home/apt,25,4.68,spring
68.0,SIXTH WARD,Entire home/apt,6,4.83,spring
75.0,SIXTH WARD,Private room,1,4.0,fall
80.0,SIXTH WARD,Entire home/apt,15,4.87,spring
49.0,THIRTEENTH WARD,Private room,5,4.8,spring
164.0,FIFTEENTH WARD,Entire home/apt,34,4.97,summer
188.0,SIXTH WARD,Entire home/apt,2,3.0,spring
178.0,TENTH WARD,Entire home/apt,18,4.61,summer
92.0,FOURTH WARD,Entire home/apt,2,4.0,spring
90.0,THIRD WARD,Entire home/apt,2,3.0,winter
127.0,THIRD WARD,Entire home/apt,1,5.0,spring
127.0,THIRD WARD,Entire home/apt,3,4.33,spring
114.0,THIRD WARD,Entire home/apt,1,2.0,winter
73.0,TENTH WARD,Entire home/apt,29,4.66,summer
38.0,THIRTEENTH WARD,Private room,9,4.78,summer
42.0,ELEVENTH WARD,Private room,43,4.95,summer
100.0,SECOND WARD,Entire home/apt,20,4.95,spring
104.0,FIRST WARD,Entire home/apt,8,3.88,spring
51.0,ELEVENTH WARD,Private room,27,4.96,summer
106.0,FIFTEENTH WARD,Entire home/apt,1,5.0,spring
101.0,SIXTH WARD,Entire home/apt,1,3.0,spring
170.0,SIXTH WARD,Entire home/apt,12,4.92,spring
103.0,SIXTH WARD,Entire home/apt,4,4.5,spring
108.0,SECOND WARD,Entire home/apt,8,4.63,summer
83.0,FOURTH WARD,Entire home/apt,1,5.0,spring
126.0,TWELFTH WARD,Entire home/apt,3,5.0,spring
149.0,FIFTEENTH WARD,Entire home/apt,20,4.95,spring
66.0,NINTH WARD,Private room,2,5.0,spring
217.0,THIRTEENTH WARD,Entire home/apt,3,3.67,spring
91.0,SECOND WARD,Entire home/apt,26,4.65,summer
258.0,EIGHTH WARD,Entire home/apt,14,5.0,summer
85.0,FOURTH WARD,Entire home/apt,6,4.33,spring
68.0,SIXTH WARD,Entire home/apt,13,5.0,summer
128.0,FOURTEENTH WARD,Entire home/apt,1,5.0,spring
74.0,SEVENTH WARD,Entire home/apt,2,5.0,spring
64.0,TWELFTH WARD,Entire home/apt,3,5.0,spring
51.0,ELEVENTH WARD,Private room,2,5.0,spring
49.0,ELEVENTH WARD,Entire home/apt,5,4.2,spring
53.0,NINTH WARD,Private room,1,5.0,spring
55.0,ELEVENTH WARD,Entire home/apt,3,2.67,spring
70.0,FIFTH WARD,Entire home/apt,2,5.0,spring
56.0,ELEVENTH WARD,Entire home/apt,1,5.0,spring
57.0,ELEVENTH WARD,Entire home/apt,2,4.5,spring
48.0,NINTH WARD,Private room,2,5.0,spring
47.0,FIFTH WARD,Entire home/apt,3,3.67,summer
107.0,SEVENTH WARD,Entire home/apt,1,5.0,summer
89.0,SECOND WARD,Entire home/apt,5,5.0,summer
57.0,ELEVENTH WARD,Entire home/apt,1,5.0,summer
